,movie_name,movie_data,movie_scores,movie_type,movie_lang,movie_len
116,老男孩,2003-11-21,82,"惊悚,悬疑",朝鲜语,120
117,海上钢琴师,2019-11-09,82,"剧情,音乐",意大利语,170
118,青春猪头少年不会梦到怀梦美少女,2019-06-15,82,"动画,爱情,剧情,奇幻",日语,90
119,拯救大兵瑞恩,1998-11-13,82,"战争,剧情,历史",英语,169
120,为了萨玛,2019-07-26,82,"纪录,战争",英语,96
121,安逸人生,1962-12-05,82,"剧情,喜剧,冒险",意大利语,105
122,牯岭街少年杀人事件,1991-07-27,82,"犯罪,剧情,爱情",汉语,237
123,角斗士,2000-08-12,82,"动作,剧情,冒险",英语,155
124,天地玄黄,1993-11-19,82,纪录,英语,97
125,鬼灭之刃：无限列车篇,2020-10-16,82,"动画,动作,奇幻",日语,117
126,GIVEN 被赠与的未来 剧场版,2020-08-22,82,"动画,剧情,音乐,爱情",日语,59
127,黑帮悍将,1993-02-05,82,"犯罪,剧情,惊悚",英语,190
128,一年中的生活,2020-11-27,82,"剧情,爱情",英语,107
129,绿皮书,2019-03-01,82,"剧情,喜剧,历史",英语,130
130,超级马力欧银河大电影,2026-04-03,82,"家庭,喜剧,冒险,奇幻,动画",英语,98
131,穿靴子的猫2,2022-12-23,82,"动画,冒险,奇幻,喜剧,家庭",英语,103
132,克劳斯：圣诞节的秘密,2019-11-08,82,"动画,家庭,喜剧",英语,97
133,福音战士新剧场版：终,2025-10-31,82,"动画,动作,科幻,剧情",日语,154
134,狼的孩子雨和雪,2012-07-21,82,"动画,家庭,剧情,奇幻",日语,117
135,无耻混蛋,2010-10-14,82,"剧情,惊悚,战争",英语,153
136,五尺天涯,2019-10-18,82,"爱情,剧情",英语,116
137,单向乐队：这就是我们,2013-08-30,82,"纪录,音乐",英语,92
138,砂之女,1964-02-15,82,"剧情,惊悚",日语,123
139,致命魔术,2006-11-10,82,"剧情,悬疑,科幻",英语,130
140,星球大战4：新希望,1977-05-25,82,"冒险,动作,科幻",英语,121
141,摇篮,2024-08-23,82,"剧情,家庭",英语,123
142,相助,2012-04-23,82,剧情,英语,146
143,男孩、鼹鼠、狐狸和马,2022-12-02,82,"动画,家庭,剧情,冒险",英语,35
144,控方证人,2025-11-28,82,"剧情,悬疑,犯罪",英语,116
145,宇宙小子大电影,2019-08-26,82,"动画,家庭,冒险,奇幻,剧情,电视电影",英语,90
146,闪灵,2026-01-30,82,"恐怖,惊悚",英语,143
147,泰勒·斯威夫特：“举世盛名”巡回演唱会,2018-12-31,82,音乐,英语,125
148,寻梦环游记,2017-11-22,82,"家庭,动画,音乐,冒险",英语,105
149,禁闭岛,2010-02-18,82,"剧情,惊悚,悬疑",英语,138
150,对一个不容怀疑的公民的调查,1970-02-12,82,"剧情,惊悚",意大利语,111
151,防弹少年团世界巡回演唱会：在首尔爱自己,2019-01-26,82,音乐,朝鲜语,160
152,黑暗正义联盟：天启星战争,2020-05-05,82,"动画,动作,冒险,奇幻",英语,90
153,血战钢锯岭,2016-12-08,82,"剧情,历史,战争",英语,139
154,妈咪,2014-09-19,82,剧情,法语,138
155,被解救的姜戈,2013-05-12,82,"剧情,西部",英语,163
156,痴迷,2026-07-24,82,"恐怖,惊悚",英语,108
157,自己去看,1985-07-09,82,"剧情,战争,恐怖,历史",俄语,136
158,蓦然回首,2024-10-26,82,"动画,剧情",日语,75
159,我的母亲有话说,2019-12-26,82,喜剧,葡萄牙语,110
160,神秘博士：博士之日,2013-11-23,82,未知,英语,75
161,红胡子,1965-04-03,82,剧情,日语,185
162,桃色公寓,1960-06-21,82,"喜剧,剧情,爱情",英语,125
163,20世纪少女,2022-10-06,82,"爱情,剧情",朝鲜语,119
164,小姐,2016-06-01,82,"惊悚,剧情,爱情",朝鲜语,145
165,无知的声音,2005-01-28,82,"剧情,战争",西班牙语,120
166,火遮眼,2026-06-09,82,"动作,犯罪,惊悚",unkonwn,113
167,狼行者,2020-10-04,82,"动画,家庭,冒险,奇幻",英语,102
168,异形,2016-04-16,82,"恐怖,科幻",英语,117
169,记忆碎片,2026-05-29,82,"悬疑,惊悚",英语,113
170,泰勒·斯威夫特：时代巡回演唱会,2023-12-31,82,音乐,英语,169
171,比莉·艾利什：模糊世界,2021-02-26,82,"纪录,音乐",英语,140
172,终结者2：审判日,2000-05-18,82,"动作,惊悚,科幻",英语,137
173,发条橙,1971-12-19,82,"科幻,犯罪",英语,137
